Dependents,tenure,InternetService,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
No,25,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes
No,38,Fiber optic,No,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No
No,66,DSL,No,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No
No,68,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes
No,5,DSL,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No
No,43,Fiber optic,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No
No,43,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,No
No,37,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes
Yes,64,DSL,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,No
Yes,27,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No
Yes,56,Fiber optic,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,No
No,3,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes
No,27,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes
No,67,DSL,No,Yes,No,No,Two year,No,Bank transfer (automatic),50.55,3260.1,No
No,2,DSL,Yes,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Yes
No,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes
Yes,30,DSL,No,No,Yes,No,One year,No,Credit card (automatic),64.5,1929.95,No
No,7,Fiber optic,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes
Yes,14,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,No
No,22,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,No
No,2,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,135.2,No
No,53,DSL,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),73.9,3958.25,No
No,4,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,Yes
No,58,DSL,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes
No,14,DSL,No,Yes,Yes,Yes,Two year,No,Mailed check,81.95,1181.75,No
No,53,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes
Yes,15,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,1559.25,No
No,1,DSL,No,No,No,No,Month-to-month,No,Mailed check,45.3,45.3,No
No,13,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes
No,20,DSL,No,No,No,No,Month-to-month,Yes,Mailed check,51.8,1023.85,No
No,3,DSL,No,Yes,No,No,Month-to-month,No,Electronic check,30.4,82.15,No
No,40,DSL,No,No,No,No,Month-to-month,No,Credit card (automatic),56.6,2379.1,No
No,59,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.35,6519.75,No
Yes,72,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),112.25,8041.65,No
No,14,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),80.05,1112.3,No
Yes,13,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),78.3,1033.95,No
No,44,Fiber optic,No,No,No,No,Month-to-month,No,Credit card (automatic),68.85,2958.95,No
No,33,Fiber optic,No,Yes,No,No,One year,Yes,Bank transfer (automatic),79.95,2684.85,No
No,1,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,Yes
No,64,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),102.45,6654.1,No
No,2,DSL,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,Yes
No,1,DSL,No,No,No,No,Month-to-month,No,Electronic check,25.25,25.25,No
No,23,Fiber optic,No,No,No,Yes,Month-to-month,No,Electronic check,86.8,1975.85,No
No,8,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),80.0,624.6,No
No,4,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,Yes
No,4,DSL,Yes,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,Yes
No,1,DSL,Yes,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,Yes
No,30,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),89.9,2723.15,No
No,2,DSL,Yes,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,Yes
No,10,DSL,No,Yes,No,No,Two year,Yes,Mailed check,29.6,299.05,No
No,18,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,73.15,1305.95,No
No,11,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes
No,72,DSL,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),86.6,6350.5,No
No,72,Fiber optic,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),109.2,7878.3,No
No,13,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,54.8,731.3,No
No,41,DSL,No,No,No,Yes,One year,No,Mailed check,65.0,2531.8,No
Yes,2,Fiber optic,Yes,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,Yes
No,1,DSL,Yes,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,Yes
Yes,32,DSL,No,Yes,Yes,Yes,One year,No,Credit card (automatic),83.7,2633.3,No
Yes,67,DSL,No,Yes,Yes,Yes,Two year,Yes,Electronic check,59.55,4103.9,No
No,2,DSL,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,Yes
No,3,DSL,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,Yes
No,13,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes
No,57,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.85,4925.35,No
No,16,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes
No,20,Fiber optic,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,107.05,2172.05,No
No,1,Fiber optic,Yes,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,Yes
No,5,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,Yes
No,14,DSL,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,55.0,771.95,No
No,5,DSL,No,No,No,No,Month-to-month,No,Bank transfer (automatic),50.55,244.75,No
No,10,DSL,No,No,No,No,Month-to-month,No,Electronic check,51.2,498.25,No
Yes,18,Fiber optic,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,Yes
No,22,Fiber optic,No,No,No,No,One year,Yes,Credit card (automatic),76.0,1783.6,No
No,1,Fiber optic,Yes,No,No,No,Month-to-month,No,Electronic check,70.0,70.0,Yes
No,8,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,Yes
No,10,DSL,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,Yes
No,24,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,Yes
Yes,23,Fiber optic,No,Yes,No,No,One year,No,Mailed check,86.8,1940.8,No
No,6,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.35,567.8,No
Yes,71,Fiber optic,No,No,No,No,Two year,No,Electronic check,76.05,5436.45,No
No,35,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.8,3437.5,No
Yes,40,DSL,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.55,3015.75,No
No,23,DSL,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),64.9,1509.8,No
No,4,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,90.4,356.65,No
Yes,68,DSL,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),60.3,4109.0,No
Yes,38,Fiber optic,No,No,No,No,Month-to-month,Yes,Mailed check,81.85,3141.7,No
No,32,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,Yes
Yes,29,DSL,No,Yes,Yes,Yes,Two year,No,Mailed check,75.55,2054.4,No
Yes,38,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Electronic check,101.15,3741.85,No
No,5,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,69.35,341.6,No
No,5,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,Yes
No,24,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,Yes
No,35,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),91.5,3236.35,No
Yes,72,DSL,No,Yes,Yes,Yes,Two year,Yes,Electronic check,60.0,4264.0,No
No,1,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,44.8,44.8,No
No,52,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.7,5138.1,No
No,11,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,82.9,880.05,No
No,2,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,Yes
Yes,28,DSL,No,No,Yes,No,Month-to-month,Yes,Electronic check,35.9,973.65,No
No,17,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),82.65,1470.05,No
No,46,Fiber optic,No,No,Yes,No,One year,Yes,Credit card (automatic),94.9,4422.95,No
No,7,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,Yes
No,2,Fiber optic,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,155.8,Yes
Yes,68,DSL,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,5293.95,Yes
No,43,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4759.85,Yes
No,36,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.8,3565.65,No
No,63,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6603.0,Yes
No,32,DSL,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),54.65,1830.1,No
No,1,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,72.1,72.1,No
No,2,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,Yes
No,23,DSL,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,44.95,996.85,No
Yes,17,DSL,No,No,No,No,One year,No,Mailed check,44.6,681.4,No
No,7,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.15,574.35,No
Yes,4,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,Yes
No,64,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Electronic check,105.25,6823.4,No
No,41,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),98.8,3959.15,No
No,58,DSL,No,No,No,No,One year,No,Credit card (automatic),50.3,2878.55,No
No,18,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),75.9,1373.05,No
No,5,Fiber optic,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55,Yes
No,71,Fiber optic,No,No,Yes,Yes,One year,Yes,Credit card (automatic),98.65,6962.85,No
No,2,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,181.5,Yes
No,37,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),96.1,3646.8,No
No,43,DSL,No,Yes,Yes,Yes,One year,No,Credit card (automatic),85.1,3662.25,No
No,1,DSL,No,No,No,No,Month-to-month,No,Mailed check,25.35,25.35,No
No,25,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,Yes
No,17,Fiber optic,No,Yes,No,No,One year,No,Electronic check,86.75,1410.25,No
No,41,Fiber optic,No,Yes,No,No,One year,Yes,Bank transfer (automatic),86.2,3339.05,No
No,1,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,50.65,50.65,Yes
No,1,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,Yes
No,48,Fiber optic,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),108.1,5067.45,No
No,55,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.45,4874.7,Yes
No,44,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Mailed check,90.4,4063.0,No
Yes,1,DSL,No,No,No,No,Month-to-month,No,Electronic check,44.0,44.0,No
No,27,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.6,2595.25,No
No,27,DSL,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),84.8,2309.55,No
No,2,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,44.3,89.3,No
No,42,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.05,3944.5,No
No,34,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),73.95,2524.45,Yes
No,33,DSL,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,54.6,1803.7,No
Yes,32,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,93.95,2861.45,No
No,3,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,81.35,233.7,Yes
No,29,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,2149.05,No
No,51,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,87.35,4473.0,No
No,48,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.65,3545.05,No
Yes,16,Fiber optic,No,No,No,No,Month-to-month,No,Bank transfer (automatic),73.25,1195.75,No
No,70,Fiber optic,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),98.7,6858.9,No
Yes,22,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Electronic check,83.3,1845.9,Yes
No,7,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.85,515.45,No
Yes,29,Fiber optic,No,Yes,No,Yes,One year,No,Credit card (automatic),100.55,2830.45,No
No,55,DSL,No,No,No,No,Month-to-month,No,Bank transfer (automatic),51.65,2838.55,No
No,52,Fiber optic,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.1,5376.4,No
Yes,10,Fiber optic,No,No,No,Yes,Month-to-month,No,Electronic check,85.95,858.6,No
No,18,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.6,1395.05,No
No,12,DSL,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.4,518.9,Yes
No,26,DSL,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),44.45,1183.8,No
No,35,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.85,3161.2,No
No,1,DSL,No,Yes,No,No,Month-to-month,No,Mailed check,55.05,55.05,No
No,36,Fiber optic,No,No,No,Yes,Month-to-month,No,Electronic check,80.4,2937.65,No
Yes,8,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.75,759.55,No
No,60,DSL,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),60.2,3582.4,No
Yes,28,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,81.05,2227.1,Yes
No,24,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.15,2494.65,No
Yes,28,Fiber optic,No,Yes,Yes,No,One year,No,Bank transfer (automatic),92.9,2768.35,No
Yes,30,DSL,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),80.8,2369.3,No
No,1,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,75.1,75.1,No
No,24,DSL,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),69.45,1614.05,No
No,7,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,673.25,Yes
No,70,DSL,No,Yes,No,Yes,Two year,Yes,Mailed check,40.05,2799.75,No
No,64,Fiber optic,No,Yes,Yes,Yes,Two year,No,Electronic check,102.1,6538.45,No
Yes,72,Fiber optic,No,No,Yes,No,One year,Yes,Electronic check,89.7,6588.95,No
No,1,DSL,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,55.0,55.0,Yes
Yes,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.7,74.7,Yes
No,24,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.25,1861.5,Yes
Yes,35,DSL,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,76.05,2747.2,No
No,5,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.1,453.4,Yes
Yes,15,Fiber optic,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),69.0,994.8,Yes
No,20,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.45,1671.6,No
No,72,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),108.5,8003.8,No
Yes,8,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,83.55,680.05,Yes
Yes,72,Fiber optic,No,No,No,Yes,Two year,Yes,Credit card (automatic),84.5,6130.85,No
No,15,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.15,1415.0,No
Yes,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.35,74.35,Yes
No,2,DSL,No,No,Yes,No,Month-to-month,Yes,Electronic check,59.0,114.15,No
No,61,DSL,No,No,No,Yes,One year,No,Bank transfer (automatic),64.05,3902.6,No
No,22,DSL,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),43.75,903.6,Yes
No,20,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,94.1,1782.4,Yes
Yes,11,Fiber optic,No,No,No,No,Month-to-month,Yes,Mailed check,78.0,851.8,No
No,2,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,167.5,Yes
Yes,6,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,80.5,502.85,Yes
No,5,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.35,334.8,Yes
No,56,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.45,5916.95,No
No,5,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,70.05,302.6,No
Yes,67,Fiber optic,No,No,Yes,Yes,One year,Yes,Electronic check,105.4,6989.45,No
No,29,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,51.6,1442.0,No
Yes,55,Fiber optic,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),85.5,4713.4,No
No,23,Fiber optic,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),75.6,1758.6,Yes
No,34,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.05,3480.0,Yes
Yes,58,Fiber optic,No,Yes,Yes,No,One year,Yes,Credit card (automatic),94.7,5430.35,No
No,56,Fiber optic,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),99.9,5706.3,No
No,2,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.95,174.45,No
No,1,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85.0,Yes
No,12,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.55,1021.75,No
No,63,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),81.55,5029.05,No
No,69,Fiber optic,No,No,Yes,Yes,One year,Yes,Credit card (automatic),95.65,6744.2,No
Yes,60,DSL,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),80.6,4946.7,No
No,11,DSL,No,No,No,Yes,Month-to-month,Yes,Mailed check,58.95,601.6,No
No,10,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.05,834.1,Yes
Yes,34,Fiber optic,No,No,No,Yes,One year,Yes,Bank transfer (automatic),78.95,2647.2,No
Yes,39,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,86.3,3266.0,Yes
No,65,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),105.05,6744.25,No
No,32,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.35,2596.15,Yes
No,11,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,70.2,760.05,No
No,1,DSL,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.3,49.3,No
No,56,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Electronic check,107.25,6033.3,No
Yes,59,Fiber optic,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),99.5,5861.75,No
No,7,DSL,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),64.3,445.95,No
No,11,DSL,No,Yes,No,No,One year,Yes,Credit card (automatic),40.4,422.6,No
No,47,DSL,No,Yes,No,No,Two year,No,Bank transfer (automatic),59.6,2754.0,No
No,11,DSL,No,Yes,No,Yes,One year,No,Credit card (automatic),64.9,697.25,No
No,56,Fiber optic,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.3,5614.45,Yes
No,28,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.85,3204.4,No
No,9,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,70.5,597.9,No
No,4,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.2,346.2,Yes
No,1,DSL,No,No,No,No,Month-to-month,No,Mailed check,45.6,45.6,No
No,4,DSL,No,Yes,No,Yes,Month-to-month,No,Mailed check,65.55,237.2,No
No,51,Fiber optic,No,No,No,Yes,One year,Yes,Credit card (automatic),90.35,4614.55,No
No,16,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),74.55,1170.5,No
Yes,66,Fiber optic,No,No,No,No,One year,Yes,Bank transfer (automatic),74.25,4859.25,No
No,46,Fiber optic,No,Yes,Yes,Yes,Two year,No,Electronic check,108.65,4903.2,No
Yes,51,DSL,No,Yes,No,No,One year,No,Credit card (automatic),47.85,2356.75,No
Yes,9,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,29.95,248.95,Yes
No,50,DSL,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),69.5,3418.2,No
No,15,DSL,No,No,No,No,Month-to-month,No,Mailed check,48.85,631.4,No
No,8,DSL,No,No,No,No,Month-to-month,Yes,Credit card (automatic),25.25,186.3,No
